"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num District total","num District rptg","over votes","under votes"
357,"For Members of the County Committee - Glen Ridge 4 (DEM) (Vote For 2)","John MILITELLO","DEM",72,48.00,0,126,1,1,"0","42"
358,"For Members of the County Committee - Glen Ridge 5 (DEM) (Vote For 2)","Deb MACLEAN","DEM",70,53.44,0,90,1,1,"0","43"
359,"For Members of the County Committee - Glen Ridge 5 (DEM) (Vote For 2)","Alex VIVES","DEM",61,46.56,0,90,1,1,"0","43"
360,"For Members of the County Committee - Glen Ridge 7 (DEM) (Vote For 2)","Analilia MEJIA","DEM",134,53.82,0,180,1,1,"0","90"
361,"For Members of the County Committee - Glen Ridge 7 (DEM) (Vote For 2)","Charles H. BRESLIN","DEM",115,46.18,0,180,1,1,"0","90"
362,"For Members of the County Committee - Glen Ridge 8 (DEM) (Vote For 2)","Amanda McCABE","DEM",73,54.07,0,101,1,1,"0","39"
363,"For Members of the County Committee - Glen Ridge 8 (DEM) (Vote For 2)","Emily GROVER-KOPEC","DEM",62,45.93,0,101,1,1,"0","39"
364,"For Members of the County Committee - Irvington N-1 (DEM) (Vote For 2)","Joseph SYLVAIN","DEM",34,57.63,0,47,1,1,"0","29"
365,"For Members of the County Committee - Irvington N-1 (DEM) (Vote For 2)","Marianna Jean SYLVAIN","DEM",25,42.37,0,47,1,1,"0","29"
366,"For Members of the County Committee - Irvington N-2 (DEM) (Vote For 2)","Romaine GRAHAM","DEM",52,50.98,0,73,1,1,"0","38"
367,"For Members of the County Committee - Irvington N-2 (DEM) (Vote For 2)","Orlander Glen VICK","DEM",50,49.02,0,73,1,1,"0","38"
368,"For Members of the County Committee - Irvington N-3 (DEM) (Vote For 2)","Audrey M. LYON","DEM",47,100.00,0,59,1,1,"0","69"
369,"For Members of the County Committee - Irvington N-4 (DEM) (Vote For 2)","Thecy M. FAUSTIN","DEM",40,63.49,0,61,1,1,"0","55"
370,"For Members of the County Committee - Irvington N-4 (DEM) (Vote For 2)","Max JEAN-BAPTISTE","DEM",23,36.51,0,61,1,1,"0","55"
371,"For Members of the County Committee - Irvington N-5 (DEM) (Vote For 2)","Monique D. SMITH","DEM",49,62.82,0,60,1,1,"0","38"
372,"For Members of the County Committee - Irvington N-5 (DEM) (Vote For 2)","George HARDIN","DEM",29,37.18,0,60,1,1,"0","38"
373,"For Members of the County Committee - Irvington N-6 (DEM) (Vote For 2)","Thelma WATSON","DEM",81,58.27,0,114,1,1,"0","83"
374,"For Members of the County Committee - Irvington N-6 (DEM) (Vote For 2)","Beverly HURST","DEM",58,41.73,0,114,1,1,"0","83"
375,"For Members of the County Committee - Irvington N-7 (DEM) (Vote For 2)","Gwendolyn WESLEY","DEM",47,62.67,0,59,1,1,"0","41"
376,"For Members of the County Committee - Irvington N-7 (DEM) (Vote For 2)","James WESLEY","DEM",28,37.33,0,59,1,1,"0","41"
377,"For Members of the County Committee - Irvington N-8 (DEM) (Vote For 2)","Richard WILLIAMS","DEM",52,66.67,0,64,1,1,"0","50"
378,"For Members of the County Committee - Irvington N-8 (DEM) (Vote For 2)","Frances DUDLEY","DEM",26,33.33,0,64,1,1,"0","50"
379,"For Members of the County Committee - Irvington S-1 (DEM) (Vote For 2)","Terrance ADAMS","DEM",43,66.15,0,58,1,1,"0","41"
380,"For Members of the County Committee - Irvington S-1 (DEM) (Vote For 2)","Vincent Paul TAYLOR","DEM",22,33.85,0,58,1,1,"0","41"
381,"For Members of the County Committee - Irvington S-2 (DEM) (Vote For 2)","James WILLIAMS","DEM",25,49.02,0,37,1,1,"0","19"
382,"For Members of the County Committee - Irvington S-2 (DEM) (Vote For 2)","Renee C. BURGESS","DEM",26,50.98,0,37,1,1,"0","19"
383,"For Members of the County Committee - Irvington S-3 (DEM) (Vote For 2)","Annette L. BEASLEY","DEM",97,75.19,0,125,1,1,"0","121"
384,"For Members of the County Committee - Irvington S-3 (DEM) (Vote For 2)","Troy CHAVERS","DEM",32,24.81,0,125,1,1,"0","121"
385,"For Members of the County Committee - Irvington S-5 (DEM) (Vote For 2)","Syesha BENBOW","DEM",38,70.37,0,39,1,1,"0","24"
386,"For Members of the County Committee - Irvington S-5 (DEM) (Vote For 2)","James WILKERSON","DEM",16,29.63,0,39,1,1,"0","24"
387,"For Members of the County Committee - Irvington S-7 (DEM) (Vote For 2)","Joanne WRIGHT","DEM",60,70.59,0,76,1,1,"0","65"
388,"For Members of the County Committee - Irvington S-7 (DEM) (Vote For 2)","Patrick WRIGHT","DEM",25,29.41,0,76,1,1,"0","65"
389,"For Members of the County Committee - Irvington S-8 (DEM) (Vote For 2)","Mary MARTIN","DEM",79,60.31,0,111,1,1,"0","83"
390,"For Members of the County Committee - Irvington S-8 (DEM) (Vote For 2)","Donald MARTIN","DEM",52,39.69,0,111,1,1,"0","83"
391,"For Members of the County Committee - Irvington S-10 (DEM) (Vote For 2)","Gary HAITH","DEM",33,100.00,0,60,1,1,"0","80"
392,"For Members of the County Committee - Irvington S-11 (DEM) (Vote For 2)","Darlene BROWN","DEM",38,59.38,0,56,1,1,"0","46"
393,"For Members of the County Committee - Irvington S-11 (DEM) (Vote For 2)","Ronald J. BROWN","DEM",26,40.63,0,56,1,1,"0","46"
394,"For Members of the County Committee - Irvington E-1 (DEM) (Vote For 2)","Pamela EAFFORD","DEM",43,100.00,0,61,1,1,"0","71"
395,"For Members of the County Committee - Irvington E-2 (DEM) (Vote For 2)","Patrick CADET","DEM",43,100.00,0,55,1,1,"0","63"
396,"For Members of the County Committee - Irvington E-3 (DEM) (Vote For 2)","Marilyn CAMPBELL","DEM",51,62.20,0,64,1,1,"0","42"
397,"For Members of the County Committee - Irvington E-3 (DEM) (Vote For 2)","Harvey DOCK","DEM",31,37.80,0,64,1,1,"0","42"
398,"For Members of the County Committee - Irvington E-4 (DEM) (Vote For 2)","Troy DANIELS","DEM",59,75.64,0,79,1,1,"0","80"
399,"For Members of the County Committee - Irvington E-4 (DEM) (Vote For 2)","Sherry WATTS","DEM",19,24.36,0,79,1,1,"0","80"
400,"For Members of the County Committee - Irvington E-5 (DEM) (Vote For 2)","Shanell TOOMER","DEM",24,60.00,0,41,1,1,"0","40"
401,"For Members of the County Committee - Irvington E-5 (DEM) (Vote For 2)","Nicole SIMPSON","DEM",16,40.00,0,41,1,1,"0","40"
402,"For Members of the County Committee - Irvington E-8 (DEM) (Vote For 2)","Josephine HARRISON","DEM",62,56.88,0,114,1,1,"0","117"
403,"For Members of the County Committee - Irvington E-8 (DEM) (Vote For 2)","Phyllis WILKINS","DEM",47,43.12,0,114,1,1,"0","117"
404,"For Members of the County Committee - Irvington E-9 (DEM) (Vote For 2)","October HUDLEY","DEM",33,58.93,0,45,1,1,"0","26"
405,"For Members of the County Committee - Irvington E-9 (DEM) (Vote For 2)","Jadeh WILLIAMS, Jr.","DEM",23,41.07,0,45,1,1,"0","26"
406,"For Members of the County Committee - Irvington W-1 (DEM) (Vote For 2)","Veleria BROWN-GARNER","DEM",79,54.86,0,85,1,1,"0","26"
407,"For Members of the County Committee - Irvington W-1 (DEM) (Vote For 2)","Craig A. GARNER","DEM",65,45.14,0,85,1,1,"0","26"
408,"For Members of the County Committee - Irvington W-2 (DEM) (Vote For 2)","Andre' L. FRANCIS, III","DEM",22,100.00,0,42,1,1,"0","57"
409,"For Members of the County Committee - Irvington W-3 (DEM) (Vote For 2)","Ruth C. STEELE","DEM",28,63.64,0,38,1,1,"0","30"
410,"For Members of the County Committee - Irvington W-3 (DEM) (Vote For 2)","Anthony A. VAUSS","DEM",16,36.36,0,38,1,1,"0","30"
411,"For Members of the County Committee - Irvington W-4 (DEM) (Vote For 2)","Charnette FREDERIC","DEM",29,54.72,0,41,1,1,"0","25"
412,"For Members of the County Committee - Irvington W-4 (DEM) (Vote For 2)","Joseph FREDERIC","DEM",24,45.28,0,41,1,1,"0","25"
413,"For Members of the County Committee - Irvington W-6 (DEM) (Vote For 2)","Juanita CLARK","DEM",31,63.27,0,37,1,1,"0","25"
414,"For Members of the County Committee - Irvington W-6 (DEM) (Vote For 2)","Phillip JACOBS","DEM",18,36.73,0,37,1,1,"0","25"
415,"For Members of the County Committee - Irvington W-7 (DEM) (Vote For 2)","Conrad R. McPHERSON","DEM",25,28.09,0,69,1,1,"0","43"
416,"For Members of the County Committee - Irvington W-7 (DEM) (Vote For 2)","Maxine Y. MILLER","DEM",25,28.09,0,69,1,1,"0","43"
417,"For Members of the County Committee - Irvington W-7 (DEM) (Vote For 2)","Vern COX","DEM",39,43.82,0,69,1,1,"0","43"
418,"For Members of the County Committee - Irvington W-8 (DEM) (Vote For 2)","John F. BROWN","DEM",88,62.41,0,128,1,1,"0","104"
419,"For Members of the County Committee - Irvington W-8 (DEM) (Vote For 2)","Senetra BROWN","DEM",53,37.59,0,128,1,1,"0","104"
420,"For Members of the County Committee - Irvington W-9 (DEM) (Vote For 2)","Anthony HOWARD","DEM",60,100.00,0,81,1,1,"0","98"
421,"For Members of the County Committee - Livingston 1 (DEM) (Vote For 2)","Shailesh C. PATEL","DEM",72,51.43,0,104,1,1,"0","28"
422,"For Members of the County Committee - Livingston 1 (DEM) (Vote For 2)","Bindu S. PATEL","DEM",68,48.57,0,104,1,1,"0","28"
423,"For Members of the County Committee - Livingston 2 (DEM) (Vote For 2)","Rudy FERNANDEZ","DEM",81,57.04,0,100,1,1,"0","28"
424,"For Members of the County Committee - Livingston 2 (DEM) (Vote For 2)","David CAETANO","DEM",61,42.96,0,100,1,1,"0","28"
425,"For Members of the County Committee - Livingston 3 (DEM) (Vote For 2)","Laurie BEACHAM","DEM",87,51.18,0,133,1,1,"0","38"
426,"For Members of the County Committee - Livingston 3 (DEM) (Vote For 2)","Debra Ashendorf WEINSTEIN","DEM",83,48.82,0,133,1,1,"0","38"
427,"For Members of the County Committee - Livingston 4 (DEM) (Vote For 2)","Martin J. FRIEDMAN","DEM",55,52.38,0,96,1,1,"0","39"
428,"For Members of the County Committee - Livingston 4 (DEM) (Vote For 2)","Ilene FRIEDMAN","DEM",50,47.62,0,96,1,1,"0","39"
429,"For Members of the County Committee - Livingston 5 (DEM) (Vote For 2)","Judith FRIEDMAN","DEM",84,47.73,0,140,1,1,"0","46"
430,"For Members of the County Committee - Livingston 5 (DEM) (Vote For 2)","Jasmine NAIDU","DEM",43,24.43,0,140,1,1,"0","46"
431,"For Members of the County Committee - Livingston 5 (DEM) (Vote For 2)","Steven H. DANIELS","DEM",49,27.84,0,140,1,1,"0","46"
432,"For Members of the County Committee - Livingston 6 (DEM) (Vote For 2)","Marylin HORDES","DEM",53,51.96,0,95,1,1,"0","34"
433,"For Members of the County Committee - Livingston 6 (DEM) (Vote For 2)","Allan R. BRIEF","DEM",49,48.04,0,95,1,1,"0","34"
434,"For Members of the County Committee - Livingston 7 (DEM) (Vote For 2)","Laurence BERGMANN","DEM",78,50.32,0,120,1,1,"0","49"
435,"For Members of the County Committee - Livingston 7 (DEM) (Vote For 2)","Libby F. HELLER","DEM",77,49.68,0,120,1,1,"0","49"
436,"For Members of the County Committee - Livingston 8 (DEM) (Vote For 2)","Carrie Sue PARIKH","DEM",48,14.55,0,215,1,1,"0","46"
437,"For Members of the County Committee - Livingston 8 (DEM) (Vote For 2)","Kiran REDDY","DEM",27,8.18,0,215,1,1,"0","46"
438,"For Members of the County Committee - Livingston 8 (DEM) (Vote For 2)","Charles AUGUST","DEM",133,40.30,0,215,1,1,"0","46"
439,"For Members of the County Committee - Livingston 8 (DEM) (Vote For 2)","Harriet S. SCHNEIDERMAN","DEM",122,36.97,0,215,1,1,"0","46"
440,"For Members of the County Committee - Livingston 9 (DEM) (Vote For 2)","Ketan K. BHUPTANI","DEM",55,48.67,0,88,1,1,"0","29"
441,"For Members of the County Committee - Livingston 9 (DEM) (Vote For 2)","Stacey L. ABENSTEIN","DEM",58,51.33,0,88,1,1,"0","29"
442,"For Members of the County Committee - Livingston 10 (DEM) (Vote For 2)","Naureen AKHTER","DEM",64,21.84,0,244,1,1,"0","79"
443,"For Members of the County Committee - Livingston 10 (DEM) (Vote For 2)","Jamie Suzanne McILVAINE","DEM",129,44.03,0,244,1,1,"0","79"
444,"For Members of the County Committee - Livingston 10 (DEM) (Vote For 2)","James P. McILVAINE","DEM",100,34.13,0,244,1,1,"0","79"
445,"For Members of the County Committee - Livingston 11 (DEM) (Vote For 2)","Steve E. KROLL","DEM",87,52.73,0,120,1,1,"0","34"
446,"For Members of the County Committee - Livingston 11 (DEM) (Vote For 2)","Thomas H. KENNEY, Jr.","DEM",78,47.27,0,120,1,1,"0","34"
447,"For Members of the County Committee - Livingston 12 (DEM) (Vote For 2)","Ankit KANAKIA","DEM",28,20.00,0,108,1,1,"0","32"
448,"For Members of the County Committee - Livingston 12 (DEM) (Vote For 2)","Deepak SETHI","DEM",47,33.57,0,108,1,1,"0","32"
449,"For Members of the County Committee - Livingston 12 (DEM) (Vote For 2)","Michael BERLINER","DEM",65,46.43,0,108,1,1,"0","32"
450,"For Members of the County Committee - Livingston 13 (DEM) (Vote For 2)","Phyllis TAIT","DEM",63,52.07,0,94,1,1,"0","31"
451,"For Members of the County Committee - Livingston 13 (DEM) (Vote For 2)","Joao M. SOARES","DEM",58,47.93,0,94,1,1,"0","31"
452,"For Members of the County Committee - Livingston 14 (DEM) (Vote For 2)","Robert S. LIPSCHITZ","DEM",92,50.55,0,161,1,1,"0","60"
453,"For Members of the County Committee - Livingston 14 (DEM) (Vote For 2)","Amy M. IPP","DEM",90,49.45,0,161,1,1,"0","60"
454,"For Members of the County Committee - Livingston 15 (DEM) (Vote For 2)","Shuvradeep MUKHERJEE","DEM",40,51.95,0,88,1,1,"0","45"
455,"For Members of the County Committee - Livingston 15 (DEM) (Vote For 2)","Neal Adam ASHINSKY","DEM",37,48.05,0,88,1,1,"0","45"
456,"For Members of the County Committee - Livingston 16 (DEM) (Vote For 2)","Alan OZAROW","DEM",49,50.00,0,69,1,1,"0","14"
457,"For Members of the County Committee - Livingston 16 (DEM) (Vote For 2)","Donna KURTZER","DEM",49,50.00,0,69,1,1,"0","14"
458,"For Members of the County Committee - Livingston 17 (DEM) (Vote For 2)","Shawn R. KLEIN","DEM",71,52.21,0,105,1,1,"0","36"
459,"For Members of the County Committee - Livingston 17 (DEM) (Vote For 2)","Eleonore K. COHEN","DEM",65,47.79,0,105,1,1,"0","36"
460,"For Members of the County Committee - Livingston 18 (DEM) (Vote For 2)","Peter STERN","DEM",55,50.00,0,86,1,1,"0","38"
461,"For Members of the County Committee - Livingston 18 (DEM) (Vote For 2)","Jill STERN","DEM",55,50.00,0,86,1,1,"0","38"
462,"For Members of the County Committee - Livingston 19 (DEM) (Vote For 2)","Pamela L. CHIRLS","DEM",79,55.24,0,136,1,1,"0","46"
463,"For Members of the County Committee - Livingston 19 (DEM) (Vote For 2)","Alyse B. HEILPERN","DEM",64,44.76,0,136,1,1,"0","46"
464,"For Members of the County Committee - Livingston 20 (DEM) (Vote For 2)","Michael M. VIEIRA","DEM",52,50.49,0,74,1,1,"0","20"
465,"For Members of the County Committee - Livingston 20 (DEM) (Vote For 2)","Michelle WILLIAMS","DEM",51,49.51,0,74,1,1,"0","20"
466,"For Members of the County Committee - Livingston 21 (DEM) (Vote For 2)","Jennifer KANTOR","DEM",59,53.15,0,87,1,1,"0","37"
467,"For Members of the County Committee - Livingston 21 (DEM) (Vote For 2)","Jarrid KANTOR","DEM",52,46.85,0,87,1,1,"0","37"
468,"For Members of the County Committee - Livingston 22 (DEM) (Vote For 2)","Margaret L. SLATKIN","DEM",68,53.13,0,99,1,1,"0","42"
469,"For Members of the County Committee - Livingston 22 (DEM) (Vote For 2)","Marvin SLATKIN","DEM",60,46.88,0,99,1,1,"0","42"
470,"For Members of the County Committee - Livingston 23 (DEM) (Vote For 2)","Jason FASS","DEM",43,50.00,0,85,1,1,"0","30"
471,"For Members of the County Committee - Livingston 23 (DEM) (Vote For 2)","Lauren FASS","DEM",43,50.00,0,85,1,1,"0","30"
472,"For Members of the County Committee - Livingston 24 (DEM) (Vote For 2)","Evan BRODY","DEM",41,53.25,0,69,1,1,"0","37"
473,"For Members of the County Committee - Livingston 24 (DEM) (Vote For 2)","Scott GOLDMAN","DEM",36,46.75,0,69,1,1,"0","37"
474,"For Members of the County Committee - Livingston 25 (DEM) (Vote For 2)","Patricia SEBOLD","DEM",127,53.36,0,167,1,1,"0","46"
475,"For Members of the County Committee - Livingston 25 (DEM) (Vote For 2)","Harry TUBER","DEM",111,46.64,0,167,1,1,"0","46"
476,"For Members of the County Committee - Livingston 26 (DEM) (Vote For 2)","Nancy HOCHBERG","DEM",64,47.76,0,101,1,1,"0","30"
477,"For Members of the County Committee - Livingston 26 (DEM) (Vote For 2)","James HOCHBERG","DEM",50,37.31,0,101,1,1,"0","30"
478,"For Members of the County Committee - Livingston 26 (DEM) (Vote For 2)","Anna WESLEY","DEM",20,14.93,0,101,1,1,"0","30"
479,"For Members of the County Committee - Maplewood 1 (DEM) (Vote For 2)","Mark LOUGHNEY","DEM",162,51.76,0,226,1,1,"0","112"
480,"For Members of the County Committee - Maplewood 1 (DEM) (Vote For 2)","Shannon CUTTLE","DEM",151,48.24,0,226,1,1,"0","112"
481,"For Members of the County Committee - Maplewood 2 (DEM) (Vote For 2)","Nancy E. SCHWARTZ","DEM",241,54.16,0,306,1,1,"0","149"
482,"For Members of the County Committee - Maplewood 2 (DEM) (Vote For 2)","Sean M. BAILEY","DEM",204,45.84,0,306,1,1,"0","149"
483,"For Members of the County Committee - Maplewood 3 (DEM) (Vote For 2)","India LARRIER","DEM",281,100.00,0,358,1,1,"2","402"
484,"For Members of the County Committee - Maplewood 4 (DEM) (Vote For 2)","Mitchel J. GROSS","DEM",159,100.00,0,214,1,1,"0","253"
485,"For Members of the County Committee - Maplewood 5 (DEM) (Vote For 2)","Michele ALONSO","DEM",154,51.68,0,207,1,1,"0","100"
486,"For Members of the County Committee - Maplewood 5 (DEM) (Vote For 2)","Beth Cooper BENJAMIN","DEM",144,48.32,0,207,1,1,"0","100"
487,"For Members of the County Committee - Maplewood 6 (DEM) (Vote For 2)","Ian R. GRODMAN","DEM",207,51.24,0,283,1,1,"0","149"
488,"For Members of the County Committee - Maplewood 6 (DEM) (Vote For 2)","Julian BRASH","DEM",197,48.76,0,283,1,1,"0","149"
489,"For Members of the County Committee - Maplewood 7 (DEM) (Vote For 2)","Dean DAFIS","DEM",235,45.54,0,332,1,1,"0","126"
490,"For Members of the County Committee - Maplewood 7 (DEM) (Vote For 2)","Richard GREENBERG","DEM",173,33.53,0,332,1,1,"0","126"
491,"For Members of the County Committee - Maplewood 7 (DEM) (Vote For 2)","Melissa RENNY","DEM",108,20.93,0,332,1,1,"0","126"
492,"For Members of the County Committee - Maplewood 8 (DEM) (Vote For 2)","Jessica JAMES","DEM",107,22.77,0,297,1,1,"0","84"
493,"For Members of the County Committee - Maplewood 8 (DEM) (Vote For 2)","Fred R. PROFETA, Jr.","DEM",195,41.49,0,297,1,1,"0","84"
494,"For Members of the County Committee - Maplewood 8 (DEM) (Vote For 2)","Gail SAFIAN","DEM",168,35.74,0,297,1,1,"0","84"
495,"For Members of the County Committee - Maplewood 9 (DEM) (Vote For 2)","Jane Collins COLDING","DEM",113,46.12,0,169,1,1,"0","69"
496,"For Members of the County Committee - Maplewood 9 (DEM) (Vote For 2)","Victor De LUCA","DEM",132,53.88,0,169,1,1,"0","69"
497,"For Members of the County Committee - Maplewood 10 (DEM) (Vote For 2)","Bruno LEE","DEM",120,50.63,0,167,1,1,"0","87"
498,"For Members of the County Committee - Maplewood 10 (DEM) (Vote For 2)","Tammy HAYNIE","DEM",117,49.37,0,167,1,1,"0","87"
499,"For Members of the County Committee - Maplewood 11 (DEM) (Vote For 2)","Irene LANGLOIS","DEM",236,57.14,0,282,1,1,"0","138"
500,"For Members of the County Committee - Maplewood 11 (DEM) (Vote For 2)","William J. STEINBRAUNN","DEM",177,42.86,0,282,1,1,"0","138"
501,"For Members of the County Committee - Maplewood 12 (DEM) (Vote For 2)","Garnet HALL","DEM",151,54.91,0,179,1,1,"0","62"
502,"For Members of the County Committee - Maplewood 12 (DEM) (Vote For 2)","John T. SULLIVAN","DEM",124,45.09,0,179,1,1,"0","62"
503,"For Members of the County Committee - Maplewood 13 (DEM) (Vote For 2)","Sean P. RUFFIN","DEM",207,100.00,0,265,1,1,"0","291"
504,"For Members of the County Committee - Maplewood 15 (DEM) (Vote For 2)","Allison POSNER","DEM",223,100.00,0,278,1,1,"0","302"
505,"For Members of the County Committee - Maplewood 16 (DEM) (Vote For 2)","Diane SIMMONS","DEM",204,100.00,0,253,1,1,"0","257"
506,"For Members of the County Committee - Maplewood 17 (DEM) (Vote For 2)","Robert DREYFUSS","DEM",207,49.52,0,298,1,1,"0","161"
507,"For Members of the County Committee - Maplewood 17 (DEM) (Vote For 2)","Jennifer CHUANG","DEM",211,50.48,0,298,1,1,"0","161"
508,"For Members of the County Committee - Maplewood 19 (DEM) (Vote For 2)","Rebecca SCHEER","DEM",178,52.98,0,232,1,1,"0","112"
509,"For Members of the County Committee - Maplewood 19 (DEM) (Vote For 2)","Stephen SIGMUND","DEM",158,47.02,0,232,1,1,"0","112"
510,"For Members of the County Committee - Maplewood 20 (DEM) (Vote For 2)","Leonard ROBBINS","DEM",169,100.00,0,234,1,1,"0","281"
511,"For Members of the County Committee - Maplewood 21 (DEM) (Vote For 2)","Theodore N. DORSET, Jr.","DEM",129,56.58,0,162,1,1,"0","81"
512,"For Members of the County Committee - Maplewood 21 (DEM) (Vote For 2)","David HUEMER","DEM",99,43.42,0,162,1,1,"0","81"
513,"For Members of the County Committee - Maplewood 22 (DEM) (Vote For 2)","Gerald LEVENTHAL","DEM",182,50.84,0,232,1,1,"0","96"
514,"For Members of the County Committee - Maplewood 22 (DEM) (Vote For 2)","Kathleen LEVENTHAL","DEM",176,49.16,0,232,1,1,"0","96"
515,"For Members of the County Committee - Millburn 1 (DEM) (Vote For 2)","Albert DiPASQUA","DEM",67,100.00,0,115,1,1,"0","97"
516,"For Members of the County Committee - Millburn 2 (DEM) (Vote For 2)","Bruce KRAMER","DEM",84,47.46,0,135,1,1,"0","52"
517,"For Members of the County Committee - Millburn 2 (DEM) (Vote For 2)","Lisa Chenofsky SINGER","DEM",93,52.54,0,135,1,1,"0","52"
518,"For Members of the County Committee - Millburn 3 (DEM) (Vote For 2)","Michael H. COHEN","DEM",77,55.40,0,112,1,1,"0","37"
519,"For Members of the County Committee - Millburn 3 (DEM) (Vote For 2)","Stephanie NESSER","DEM",62,44.60,0,112,1,1,"0","37"
520,"For Members of the County Committee - Millburn 4 (DEM) (Vote For 2)","Leslie A. CAULFIELD","DEM",66,51.97,0,109,1,1,"0","41"
521,"For Members of the County Committee - Millburn 4 (DEM) (Vote For 2)","Joseph T. CAULFIELD","DEM",61,48.03,0,109,1,1,"0","41"
522,"For Members of the County Committee - Millburn 5 (DEM) (Vote For 2)","Jo Ann L. BOYKO","DEM",36,53.73,0,62,1,1,"0","23"
523,"For Members of the County Committee - Millburn 5 (DEM) (Vote For 2)","David BOYKO","DEM",31,46.27,0,62,1,1,"0","23"
524,"For Members of the County Committee - Millburn 6 (DEM) (Vote For 2)","Annette ROMANO","DEM",83,60.14,0,119,1,1,"0","64"
525,"For Members of the County Committee - Millburn 6 (DEM) (Vote For 2)","Nicholas F. ROMANO, Jr.","DEM",55,39.86,0,119,1,1,"0","64"
526,"For Members of the County Committee - Millburn 7 (DEM) (Vote For 2)","Emily M. HABERMAN","DEM",68,24.55,0,173,1,1,"0","22"
527,"For Members of the County Committee - Millburn 7 (DEM) (Vote For 2)","Bart I. GORIN","DEM",67,24.19,0,173,1,1,"0","22"
528,"For Members of the County Committee - Millburn 7 (DEM) (Vote For 2)","Jennifer BAER","DEM",68,24.55,0,173,1,1,"0","22"
529,"For Members of the County Committee - Millburn 7 (DEM) (Vote For 2)","Daniel BAER","DEM",74,26.71,0,173,1,1,"0","22"
530,"For Members of the County Committee - Millburn 8 (DEM) (Vote For 2)","Eve WASSERMAN","DEM",43,52.44,0,78,1,1,"0","24"
531,"For Members of the County Committee - Millburn 8 (DEM) (Vote For 2)","Richard WASSERMAN","DEM",39,47.56,0,78,1,1,"0","24"
532,"For Members of the County Committee - Millburn 9 (DEM) (Vote For 2)","Tara HALPERN","DEM",77,54.61,0,118,1,1,"0","38"
533,"For Members of the County Committee - Millburn 9 (DEM) (Vote For 2)","Thomas J. BARRETT","DEM",64,45.39,0,118,1,1,"0","38"
534,"For Members of the County Committee - Millburn 10 (DEM) (Vote For 2)","William T. ""Bill"" BRAZELL","DEM",81,38.76,0,144,1,1,"0","59"
535,"For Members of the County Committee - Millburn 10 (DEM) (Vote For 2)","Glenn ZARIN","DEM",56,26.79,0,144,1,1,"0","59"
536,"For Members of the County Committee - Millburn 10 (DEM) (Vote For 2)","Melissa ZARIN","DEM",72,34.45,0,144,1,1,"0","59"
537,"For Members of the County Committee - Millburn 12 (DEM) (Vote For 2)","Charu GOEL","DEM",90,39.82,0,162,1,1,"0","40"
538,"For Members of the County Committee - Millburn 12 (DEM) (Vote For 2)","Jacqueline Benjamin LIEBERBERG","DEM",96,42.48,0,162,1,1,"0","40"
539,"For Members of the County Committee - Millburn 12 (DEM) (Vote For 2)","Christine L. BEST","DEM",40,17.70,0,162,1,1,"0","40"
540,"For Members of the County Committee - Millburn 13 (DEM) (Vote For 2)","Jorge MASTROPIETRO","DEM",57,48.72,0,110,1,1,"0","49"
541,"For Members of the County Committee - Millburn 13 (DEM) (Vote For 2)","Regina TRUITT","DEM",60,51.28,0,110,1,1,"0","49"
542,"For Members of the County Committee - Millburn 14 (DEM) (Vote For 2)","Jordana HORN","DEM",36,55.38,0,58,1,1,"0","13"
543,"For Members of the County Committee - Millburn 14 (DEM) (Vote For 2)","Jon GORDON","DEM",29,44.62,0,58,1,1,"0","13"
544,"For Members of the County Committee - Millburn 15 (DEM) (Vote For 2)","Cheryl DESMARAIS","DEM",52,57.78,0,78,1,1,"0","46"
545,"For Members of the County Committee - Millburn 15 (DEM) (Vote For 2)","Michael MALLON","DEM",38,42.22,0,78,1,1,"0","46"
546,"For Members of the County Committee - Millburn 16 (DEM) (Vote For 2)","Sanjeev VINAYAK","DEM",50,49.50,0,83,1,1,"0","21"
547,"For Members of the County Committee - Millburn 16 (DEM) (Vote For 2)","Trina FRANKEL","DEM",51,50.50,0,83,1,1,"0","21"
548,"For Members of the County Committee - Montclair 1-1 (DEM) (Vote For 2)","Jessica G. de KONINCK","DEM",121,50.84,0,185,1,1,"0","106"
549,"For Members of the County Committee - Montclair 1-1 (DEM) (Vote For 2)","Shivaun GAINES","DEM",117,49.16,0,185,1,1,"0","106"
550,"For Members of the County Committee - Montclair 1-2 (DEM) (Vote For 2)","John HEARN","DEM",131,55.04,0,176,1,1,"0","92"
551,"For Members of the County Committee - Montclair 1-2 (DEM) (Vote For 2)","Leland MONTGOMERY","DEM",107,44.96,0,176,1,1,"0","92"
552,"For Members of the County Committee - Montclair 1-3 (DEM) (Vote For 2)","Tara CHARKOW","DEM",148,55.85,0,193,1,1,"0","100"
553,"For Members of the County Committee - Montclair 1-3 (DEM) (Vote For 2)","James O. MOORE","DEM",117,44.15,0,193,1,1,"0","100"
554,"For Members of the County Committee - Montclair 1-4 (DEM) (Vote For 2)","Matthew J. De SIMONE","DEM",157,50.48,0,237,1,1,"0","135"
555,"For Members of the County Committee - Montclair 1-4 (DEM) (Vote For 2)","Marcia A. MEJIA-ALMEIDA","DEM",154,49.52,0,237,1,1,"0","135"
556,"For Members of the County Committee - Montclair 1-5 (DEM) (Vote For 2)","Danielle ALVAREZ","DEM",148,55.22,0,196,1,1,"0","91"
